project,vulnerable_dependencies,total_cves,rows
Checkmk_checkmk,56,197,270
GaiZhenbiao_ChuanhuChatGPT,16,83,83
StackStorm_st2,31,85,272
aimhubio_aim,56,289,378
ajenti_ajenti,41,107,144
ansible_ansible,6,24,43
apache_airflow,9,16,16
cobbler_cobbler,5,14,17
frappe_frappe,4,4,4
freeipa_freeipa,11,87,144
galaxyproject_galaxy,16,18,23
goauthentik_authentik,1,1,2
gradio-app_gradio,35,401,2126
hhyo_Archery,13,34,34
home-assistant_core,3,8,8
jumpserver_jumpserver,1,5,5
mindsdb_mindsdb,29,293,346
mitre_caldera,4,4,4
mlflow_mlflow,58,284,579
netbox-community_netbox,16,83,83
numpy_numpy,7,20,24
odoo_odoo,22,131,193
openbmc_openbmc,1,5,5
openstack_cinder,10,36,36
openstack_glance,5,24,24
openstack_heat,10,32,32
openstack_horizon,12,37,37
openstack_keystone,11,39,39
openstack_neutron,6,16,17
openstack_nova,10,40,40
openstack_swift,6,30,30
pgadmin-org_pgadmin4,7,11,11
plone_Products.CMFPlone,15,14,14
plone_plone.namedfile,2,45,45
pulp_pulp,1,4,4
python-pillow_Pillow,3,14,14
python_cpython,1,1,1
roundup-tracker_roundup,6,19,19
tryton_tryton,3,9,11
tryton_trytond,2,8,8
vyperlang_vyper,1,1,1
web2py_web2py,1,3,6
zopefoundation_Zope,2,4,4
